<tt style='background-color:#E8E8E8;'> Unsafe.Coerce <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Unsafe-Coerce.html#v:unsafeCoerce'>unsafeCoerce </a>  a -> b </tt>	The highly unsafe primitive unsafeCoerce converts a value from any type to any other type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CWchar'>CWchar </a>  Int32 -> CWchar </tt>	Haskell type representing the C wchar_t type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CSigAtomic'>CSigAtomic </a>  Int32 -> CSigAtomic </tt>	Haskell type representing the C sig_atomic_t type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CLLong'>CLLong </a>  Int64 -> CLLong </tt>	Haskell type representing the C long long type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CULLong'>CULLong </a>  Word64 -> CULLong </tt>	Haskell type representing the C unsigned long long type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CClock'>CClock </a>  Int64 -> CClock </tt>	Haskell type representing the C clock_t type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CTime'>CTime </a>  Int64 -> CTime </tt>	Haskell type representing the C time_t type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CUSeconds'>CUSeconds </a>  Word32 -> CUSeconds </tt>	Haskell type representing the C useconds_t type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CSUSeconds'>CSUSeconds </a>  Int64 -> CSUSeconds </tt>	Haskell type representing the C suseconds_t type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CFloat'>CFloat </a>  Float -> CFloat </tt>	Haskell type representing the C float type
<tt style='background-color:#E8E8E8;'> Foreign.C.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-C-Types.html#v:CDouble'>CDouble </a>  Double -> CDouble </tt>	Haskell type representing the C double type
<tt style='background-color:#E8E8E8;'> Foreign.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Concurrent.html#v:newForeignPtr'>newForeignPtr </a>  Ptr a -> IO () -> IO (ForeignPtr a) </tt>	Turns a plain memory reference into a foreign object by associating a finalizer - given by the monadic operation - with the reference
<tt style='background-color:#E8E8E8;'> Foreign.Concurrent <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Concurrent.html#v:addForeignPtrFinalizer'>addForeignPtrFinalizer </a>  ForeignPtr a -> IO () -> IO () </tt>	This function adds a finalizer to the given ForeignPtr
<tt style='background-color:#E8E8E8;'> Foreign.Ptr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Ptr.html#v:nullPtr'>nullPtr </a>  Ptr a </tt>	The constant nullPtr contains a distinguished value of Ptr that is not associated with a valid memory location
<tt style='background-color:#E8E8E8;'> Foreign.Ptr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Ptr.html#v:castPtr'>castPtr </a>  Ptr a -> Ptr b </tt>	The castPtr function casts a pointer from one type to another
<tt style='background-color:#E8E8E8;'> Foreign.Ptr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Ptr.html#v:plusPtr'>plusPtr </a>  Ptr a -> Int -> Ptr b </tt>	Advances the given address by the given offset in bytes
<tt style='background-color:#E8E8E8;'> Foreign.Ptr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Ptr.html#v:alignPtr'>alignPtr </a>  Ptr a -> Int -> Ptr a </tt>	Given an arbitrary address and an alignment constraint, alignPtr yields the next higher address that fulfills the alignment constraint
<tt style='background-color:#E8E8E8;'> Foreign.Ptr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Ptr.html#v:minusPtr'>minusPtr </a>  Ptr a -> Ptr b -> Int </tt>	Computes the offset required to get from the second to the first argument
<tt style='background-color:#E8E8E8;'> Foreign.Ptr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Ptr.html#v:nullFunPtr'>nullFunPtr </a>  FunPtr a </tt>	The constant nullFunPtr contains a distinguished value of FunPtr that is not associated with a valid memory location
<tt style='background-color:#E8E8E8;'> Foreign.Ptr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Ptr.html#v:castFunPtr'>castFunPtr </a>  FunPtr a -> FunPtr b </tt>	Casts a FunPtr to a FunPtr of a different type
<tt style='background-color:#E8E8E8;'> Foreign.Ptr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Ptr.html#v:castFunPtrToPtr'>castFunPtrToPtr </a>  FunPtr a -> Ptr b </tt>	Casts a FunPtr to a Ptr
<tt style='background-color:#E8E8E8;'> Foreign.Ptr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Ptr.html#v:castPtrToFunPtr'>castPtrToFunPtr </a>  Ptr a -> FunPtr b </tt>	Casts a Ptr to a FunPtr
<tt style='background-color:#E8E8E8;'> Foreign.Ptr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Ptr.html#v:freeHaskellFunPtr'>freeHaskellFunPtr </a>  FunPtr a -> IO () </tt>	Release the storage associated with the given FunPtr, which must have been obtained from a wrapper stub
<tt style='background-color:#E8E8E8;'> Foreign.Ptr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Ptr.html#v:ptrToIntPtr'>ptrToIntPtr </a>  Ptr a -> IntPtr </tt>	casts a Ptr to an IntPtr
<tt style='background-color:#E8E8E8;'> Foreign.Ptr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Ptr.html#v:intPtrToPtr'>intPtrToPtr </a>  IntPtr -> Ptr a </tt>	casts an IntPtr to a Ptr
<tt style='background-color:#E8E8E8;'> Foreign.Ptr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Ptr.html#v:ptrToWordPtr'>ptrToWordPtr </a>  Ptr a -> WordPtr </tt>	casts a Ptr to a WordPtr
<tt style='background-color:#E8E8E8;'> Foreign.Ptr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-Ptr.html#v:wordPtrToPtr'>wordPtrToPtr </a>  WordPtr -> Ptr a </tt>	casts a WordPtr to a Ptr
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr.html#v:newForeignPtr'>newForeignPtr </a>  FinalizerPtr a -> Ptr a -> IO (ForeignPtr a) </tt>	Turns a plain memory reference into a foreign pointer, and associates a finalizer with the reference
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr.html#v:newForeignPtr_'>newForeignPtr_ </a>  Ptr a -> IO (ForeignPtr a) </tt>	Turns a plain memory reference into a foreign pointer that may be associated with finalizers by using addForeignPtrFinalizer
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr.html#v:addForeignPtrFinalizer'>addForeignPtrFinalizer </a>  FinalizerPtr a -> ForeignPtr a -> IO () </tt>	This function adds a finalizer to the given foreign object
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr.html#v:newForeignPtrEnv'>newForeignPtrEnv </a>  FinalizerEnvPtr env a -> Ptr env -> Ptr a -> IO (ForeignPtr a) </tt>	This variant of newForeignPtr adds a finalizer that expects an environment in addition to the finalized pointer
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr.html#v:addForeignPtrFinalizerEnv'>addForeignPtrFinalizerEnv </a>  FinalizerEnvPtr env a -> Ptr env -> ForeignPtr a -> IO () </tt>	Like addForeignPtrFinalizerEnv but allows the finalizer to be passed an additional environment parameter to be passed to the finalizer
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr.html#v:withForeignPtr'>withForeignPtr </a>  ForeignPtr a -> (Ptr a -> IO b) -> IO b </tt>	This is a way to look at the pointer living inside a foreign object
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr.html#v:finalizeForeignPtr'>finalizeForeignPtr </a>  ForeignPtr a -> IO () </tt>	Causes the finalizers associated with a foreign pointer to be run immediately
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr.html#v:touchForeignPtr'>touchForeignPtr </a>  ForeignPtr a -> IO () </tt>	This function ensures that the foreign object in question is alive at the given place in the sequence of IO actions
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr.html#v:castForeignPtr'>castForeignPtr </a>  ForeignPtr a -> ForeignPtr b </tt>	This function casts a ForeignPtr parameterised by one type into another type
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr.html#v:mallocForeignPtr'>mallocForeignPtr </a>  Storable a => IO (ForeignPtr a) </tt>	Allocate some memory and return a ForeignPtr to it
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr.html#v:mallocForeignPtrBytes'>mallocForeignPtrBytes </a>  Int -> IO (ForeignPtr a) </tt>	This function is similar to mallocForeignPtr, except that the size of the memory required is given explicitly as a number of bytes
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr.html#v:mallocForeignPtrArray'>mallocForeignPtrArray </a>  Storable a => Int -> IO (ForeignPtr a) </tt>	This function is similar to mallocArray, but yields a memory area that has a finalizer attached that releases the memory area
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr.html#v:mallocForeignPtrArray0'>mallocForeignPtrArray0 </a>  Storable a => Int -> IO (ForeignPtr a) </tt>	This function is similar to mallocArray0, but yields a memory area that has a finalizer attached that releases the memory area
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr-Safe.html#v:newForeignPtr'>newForeignPtr </a>  FinalizerPtr a -> Ptr a -> IO (ForeignPtr a) </tt>	Turns a plain memory reference into a foreign pointer, and associates a finalizer with the reference
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr-Safe.html#v:newForeignPtr_'>newForeignPtr_ </a>  Ptr a -> IO (ForeignPtr a) </tt>	Turns a plain memory reference into a foreign pointer that may be associated with finalizers by using addForeignPtrFinalizer
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr-Safe.html#v:addForeignPtrFinalizer'>addForeignPtrFinalizer </a>  FinalizerPtr a -> ForeignPtr a -> IO () </tt>	This function adds a finalizer to the given foreign object
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr-Safe.html#v:newForeignPtrEnv'>newForeignPtrEnv </a>  FinalizerEnvPtr env a -> Ptr env -> Ptr a -> IO (ForeignPtr a) </tt>	This variant of newForeignPtr adds a finalizer that expects an environment in addition to the finalized pointer
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr-Safe.html#v:addForeignPtrFinalizerEnv'>addForeignPtrFinalizerEnv </a>  FinalizerEnvPtr env a -> Ptr env -> ForeignPtr a -> IO () </tt>	Like addForeignPtrFinalizerEnv but allows the finalizer to be passed an additional environment parameter to be passed to the finalizer
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr-Safe.html#v:withForeignPtr'>withForeignPtr </a>  ForeignPtr a -> (Ptr a -> IO b) -> IO b </tt>	This is a way to look at the pointer living inside a foreign object
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr-Safe.html#v:finalizeForeignPtr'>finalizeForeignPtr </a>  ForeignPtr a -> IO () </tt>	Causes the finalizers associated with a foreign pointer to be run immediately
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr-Safe.html#v:touchForeignPtr'>touchForeignPtr </a>  ForeignPtr a -> IO () </tt>	This function ensures that the foreign object in question is alive at the given place in the sequence of IO actions
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr-Safe.html#v:castForeignPtr'>castForeignPtr </a>  ForeignPtr a -> ForeignPtr b </tt>	This function casts a ForeignPtr parameterised by one type into another type
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr-Safe.html#v:mallocForeignPtr'>mallocForeignPtr </a>  Storable a => IO (ForeignPtr a) </tt>	Allocate some memory and return a ForeignPtr to it
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr-Safe.html#v:mallocForeignPtrBytes'>mallocForeignPtrBytes </a>  Int -> IO (ForeignPtr a) </tt>	This function is similar to mallocForeignPtr, except that the size of the memory required is given explicitly as a number of bytes
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr-Safe.html#v:mallocForeignPtrArray'>mallocForeignPtrArray </a>  Storable a => Int -> IO (ForeignPtr a) </tt>	This function is similar to mallocArray, but yields a memory area that has a finalizer attached that releases the memory area
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr.Safe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr-Safe.html#v:mallocForeignPtrArray0'>mallocForeignPtrArray0 </a>  Storable a => Int -> IO (ForeignPtr a) </tt>	This function is similar to mallocArray0, but yields a memory area that has a finalizer attached that releases the memory area
<tt style='background-color:#E8E8E8;'> Foreign.ForeignPtr.Unsafe <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/Foreign-ForeignPtr-Unsafe.html#v:unsafeForeignPtrToPtr'>unsafeForeignPtrToPtr </a>  ForeignPtr a -> Ptr a </tt>	This function extracts the pointer component of a foreign pointer
<tt style='background-color:#E8E8E8;'> GHC.IO.Buffer <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Buffer.html#v:Buffer'>Buffer </a>  !(RawBuffer e) -> BufferState -> !Int -> !Int -> !Int -> Buffer e </tt>	A mutable array of bytes that can be passed to foreign functions
<tt style='background-color:#E8E8E8;'> GHC.IO.Buffer <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Buffer.html#v:slideContents'>slideContents </a>  Buffer Word8 -> IO (Buffer Word8) </tt>	slides the contents of the buffer to the beginning
<tt style='background-color:#E8E8E8;'> GHC.IO.Encoding.Types <a href='https://hackage.haskell.org/package/base-4.8.2.0/docs/GHC-IO-Encoding-Types.html#v:BufferCodec'>BufferCodec </a>  CodeBuffer from to -> (Buffer from -> Buffer to -> IO (Buffer from, Buffer to)) -> IO () -> IO state -> (state -> IO ()) -> BufferCodec from to state </tt>	Types for text encoding/decoding
