ArrayAccess offset Get $konum	değerin döndürüleceği konum
function int idate string $biçem int $zaman_damgası	yerel zamanı / tarihi tamsayı olarak bi&ccedil;imlendirir
function idn to ascii $alan	dönüştürülecek alan adı
function idn to ascii $seçenekler	idna_* sabitlerinden oluşan dönüşüm seçenekleri
function string idn to ascii	ascii uyumlu kodlanmış alan adı
function string idn to ascii string $alan int $seçenekler	alan adını idna ascii bi&ccedil;imine d&ouml;n&uuml;şt&uuml;r&uuml;r
function idn to utf8 $alan	kodlaması evrenkoda dönüştürülecek idna ascii kodlu alan adı
function idn to utf8 $seçenekler	idna_* sabitlerinden oluşan dönüşüm seçenekleri
function string idn to utf8	evrenkod ile kodlanmış alan adı
function string idn to utf8 string $alan int $seçenekler	alan adı kodlamasını idna ascii'den evrenkoda d&ouml;n&uuml;şt&uuml;r&uuml;r
function ignore user abort $değer	bu değiştirge belirtilmişse değiştirge değeri ignore_user_abort yönergesinin değeri olarak kullanılır
function int ignore user abort	önceki değeri bir tamsayı olarak döndürür
function int ignore user abort string $değer	bir istemci bağlantıyı terkettiğinde betiğin sonlandırılıp sonlandırılmayacağını belirler
function image type to mime type $resimtürü	imagetype_xxx sabitlerinden biri
function string image type to mime type int $resimtürü	getimagesize exif_read_data exif_thumbnail exif_imagetype ile d&ouml;nd&uuml;r&uuml;len resim t&uuml;r&uuml; ile ilgili mime t&uuml;r&uuml;n&uuml; d&ouml;nd&uuml;r&uuml;r
function image2wbmp $dosyaismi	resmin kaydedileceği dosyanın yolu
function image2wbmp $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function image2wbmp $eşik	eşik değeri; 0-255 aralığında bir değerdir
function bool image2wbmp	başarı durumunda true başarısızlık durumunda false döner
function bool image2wbmp resource $resim string $dosyaismi int $eşik	bir dosyaya veya tarayıcıya bir wbmp resmi &ccedil;ıktılar
function imagealphablending $etkin	harmanlama kipinin etkin olup olmayacağı; false öntanımlıdır
function imagealphablending $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function bool imagealphablending	başarı durumunda true başarısızlık durumunda false döner
function bool imagealphablending resource $resim bool $etkin	bir resim i&ccedil;in harmanlama kipini etkinleştirir
function imageantialias $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function imageantialias $etkin	kenar yumuşatma uygulanıp uygulanmayacağı
function bool imageantialias	başarı durumunda true başarısızlık durumunda false döner
function bool imageantialias resource $resim bool $etkin	kenar yumuşatma işlevlerini uygulatır
function imagearc $renk	imagecolorallocate() ile oluşturulan bir renk tanıtıcısı
function imagearc $son	derece cinsinden yayın bitiş açısı
function imagearc $my	merkezin y konumu
function imagearc $baş	derece cinsinden yayın başlangıç açısı
function imagearc $genişlik	yay genişliği
function imagearc $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function imagearc $yükseklik	yay yüksekliği
function imagearc $mx	merkezin x konumu
function bool imagearc	başarı durumunda true başarısızlık durumunda false döner
function bool imagearc resource $resim int $mx int $my int $genişlik int $yükseklik int $baş int $son int $renk	bir yay &ccedil;izer
function imagechar $renk	imagecolorallocate() ile oluşturulmuş bir rengin tanıtıcısı
function imagechar $yazıtipi	belirtilecek değer latin2 kodlamalı yerleşik yazı tipleri için 1 2 3 4 5 daha büyük numara daha yüksek yazı tipine karşılıktır veya imageloadfont() ile tanımlanmış kendi yazı tipi betimleyicilerinizden biri olabilir
function imagechar $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function imagechar $y	başlangıç y koordinatı
function imagechar $x	başlangıç x koordinatı
function imagechar $karakter	çizilecek karakter
function bool imagechar	başarı durumunda true başarısızlık durumunda false döner
function bool imagechar resource $resim int $yazıtipi int $x int $y string $karakter int $renk	yatay olarak bir karakter &ccedil;izer
function imagecharup $renk	imagecolorallocate() ile oluşturulmuş bir rengin tanıtıcısı
function imagecharup $yazıtipi	belirtilecek değer latin2 kodlamalı yerleşik yazı tipleri için 1 2 3 4 5 daha büyük numara daha yüksek yazı tipine karşılıktır veya imageloadfont() ile tanımlanmış kendi yazı tipi betimleyicilerinizden biri olabilir
function imagecharup $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function imagecharup $y	başlangıç y koordinatı
function imagecharup $x	başlangıç x koordinatı
function imagecharup $karakter	çizilecek karakter
function bool imagecharup	başarı durumunda true başarısızlık durumunda false döner
function bool imagecharup resource $image int $font int $x int $y string $c int $color	d&uuml;şey olarak bir karakter &ccedil;izer
function imagecolorallocate $yeşil	rengin yeşil bileşeninin değeri
function imagecolorallocate $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function imagecolorallocate $mavi	rengin mavi bileşeninin değeri
function imagecolorallocate $kırmızı	rengin kırmızı bileşeninin değeri
function int imagecolorallocate	renk ayrılamamışsa false aksi takdirde renk inidisi ile döner
function int imagecolorallocate resource $resim int $kırmızı int $yeşil int $mavi	bir resim i&ccedil;in bir renk ayırır
function imagecolorat $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function imagecolorat $x	pikselin x konumu
function imagecolorat $y	pikselin y konumu
function int imagecolorat	renk indisini döndürür
function int imagecolorat resource $resim int $x int $y	bir pikselin renk indisini d&ouml;nd&uuml;r&uuml;r
function imagecolorclosest $yeşil	rengin yeşil bileşeninin değeri
function imagecolorclosest $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function imagecolorclosest $mavi	rengin mavi bileşeninin değeri
function imagecolorclosest $kırmızı	rengin kırmızı bileşeninin değeri
function int imagecolorclosest	paletteki en yakın rengin indisi döner
function int imagecolorclosest resource $resim int $kırmızı int $yeşil int $mavi	belirtilen rengin en yakın benzerinin indisini d&ouml;nd&uuml;r&uuml;r
function imagecolorclosestalpha $alfa	0-127 arasında belirtilebilir
function imagecolorclosestalpha $yeşil	rengin yeşil bileşeninin değeri
function imagecolorclosestalpha $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function imagecolorclosestalpha $mavi	rengin mavi bileşeninin değeri
function imagecolorclosestalpha $kırmızı	rengin kırmızı bileşeninin değeri
function int imagecolorclosestalpha	paletteki en yakın rengin indisi döner
function int imagecolorclosestalpha resource $resim int $kırmızı int $yeşil int $mavi int $alfa	alfası ile birlikte belirtilen rengin en yakın benzerinin renk indisini verir
function imagecolorclosesthwb $yeşil	rengin yeşil bileşeninin değeri
function imagecolorclosesthwb $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function imagecolorclosesthwb $mavi	rengin mavi bileşeninin değeri
function imagecolorclosesthwb $kırmızı	rengin kırmızı bileşeninin değeri
function int imagecolorclosesthwb	en yakın renk sıcaklığına beyaz ve siyahlığa sahip renk indisini döndürür
function int imagecolorclosesthwb resource $resim int $kırmızı int $yeşil int $mavi	en yakın renk sıcaklığına beyaz ve siyahlığa sahip renk indisini verir
function imagecolordeallocate $renk	renk tanıtıcısı
function imagecolordeallocate $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function bool imagecolordeallocate	başarı durumunda true başarısızlık durumunda false döner
function bool imagecolordeallocate resource $resim int $renk	bir rengi tanımsız yapar
function imagecolorexact $yeşil	rengin yeşil bileşeninin değeri
function imagecolorexact $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function imagecolorexact $mavi	rengin mavi bileşeninin değeri
function imagecolorexact $kırmızı	rengin kırmızı bileşeninin değeri
function int imagecolorexact	renk palette mevcut değilse -1 aksi takdirde rengin indisini döndürür
function int imagecolorexact resource $resim int $kırmızı int $yeşil int $mavi	belirtilen rengin indisini d&ouml;nd&uuml;r&uuml;r
function imagecolorexactalpha $alfa	0-127 arasında belirtilebilir
function imagecolorexactalpha $yeşil	rengin yeşil bileşeninin değeri
function imagecolorexactalpha $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function imagecolorexactalpha $mavi	rengin mavi bileşeninin değeri
function imagecolorexactalpha $kırmızı	rengin kırmızı bileşeninin değeri
function int imagecolorexactalpha	renk palette mevcut değilse -1 aksi takdirde rengin indisini döndürür
function int imagecolorexactalpha resource $resim int $kırmızı int $yeşil int $mavi int $alfa	alfası ile birlikte belirtilen rengin indisini verir
function imagecolormatch $resim1	resmin gerçek renkli sürümünün tanıtıcısı
function imagecolormatch $resim2	renkleri resim1 ile aynı yapılacak paletli sürümün tanıtıcısı
function bool imagecolormatch	başarı durumunda true başarısızlık durumunda false döner
function bool imagecolormatch resource $resim1 resource $resim2	bir resmin paletli s&uuml;r&uuml;m&uuml;n&uuml;n renklerini ger&ccedil;ek renkli s&uuml;r&uuml;m&uuml;n&uuml;n renkleriyle aynı yapar
function imagecolorresolve $yeşil	rengin yeşil bileşeninin değeri
function imagecolorresolve $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function imagecolorresolve $mavi	rengin mavi bileşeninin değeri
function imagecolorresolve $kırmızı	rengin kırmızı bileşeninin değeri
function int imagecolorresolve	bir renk indisi döndürür
function int imagecolorresolve resource $resim int $kırmızı int $yeşil int $mavi	belirtilen rengin veya en yakın benzerinin indisini d&ouml;nd&uuml;r&uuml;r
function imagecolorresolvealpha $alfa	0-127 arasında belirtilebilir
function imagecolorresolvealpha $yeşil	rengin yeşil bileşeninin değeri
function imagecolorresolvealpha $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function imagecolorresolvealpha $mavi	rengin mavi bileşeninin değeri
function imagecolorresolvealpha $kırmızı	rengin kırmızı bileşeninin değeri
function int imagecolorresolvealpha	bir renk indisi döner
function int imagecolorresolvealpha resource $resim int $kırmızı int $yeşil int $mavi int $alfa	alfası ile birlikte belirtilen rengin veya en yakın benzerinin renk indisini verir
function imagecolorset $indis	palet içinde bir indis
function imagecolorset $yeşil	rengin yeşil bileşeninin değeri
function imagecolorset $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function imagecolorset $mavi	rengin mavi bileşeninin değeri
function imagecolorset $kırmızı	rengin kırmızı bileşeninin değeri
function void imagecolorset resource $resim int $indis int $kırmızı int $yeşil int $mavi	bir palet indisi i&ccedil;in renk tanımlar
function imagecolorsforindex $indis	renk indisi
function imagecolorsforindex $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function array imagecolorsforindex	belirtilen renk indisi ile ilişkili red green blue ve alpha kırmızı yeşil mavi ve alfa anahtarlarını içeren bir ilişkisel dizi döndürür
function array imagecolorsforindex resource $resim int $indis	bir renk indisinin renk bilgisini d&ouml;nd&uuml;r&uuml;r
function imagecolorstotal $resim	imagecreatetruecolor() gibi bir resim oluşturma işlevinden dönen bir resim verisi
function int imagecolorstotal	paletli resimler için paletteki renk sayısını gerçek renkli resimler için ise 0 döndürür
function int imagecolorstotal resource $resim	bir resim paletindeki renk sayısını d&ouml;nd&uuml;r&uuml;r
function imagecopy $kyn_x	kaynak resimdeki x koordinatı
function imagecopy $kyn_x	kaynak resimdeki y koordinatı
function imagecopy $hedef	hedef resmin tanıtıcısı
function imagecopy $hdf_y	hedef resimdeki y koordinatı
function imagecopy $kyn_gnş	kaynak resimdeki parça genişliği
function imagecopy $kyn_yks	kaynak resimdeki parça yüksekliği
function imagecopy $hdf_x	hedef resimdeki x koordinatı
function imagecopy $kaynak	kaynak resmin tanıtıcısı
function bool imagecopy	başarı durumunda true başarısızlık durumunda false döner
function bool imagecopy resource $hedef resource $kaynak int $hdf_x int $hdf_y int $kyn_x int $kyn_y int $kyn_gnş int $kyn_yks	bir resim par&ccedil;asını kopyalar
function imagecreatefromgd $dosyaismi	gd resmin dosya yolu
function resource imagecreatefromgd	başarı durumunda resim dosya tanıtıcısı hata durumunda false döner
